6,Algebra,Calculus,Geometry,Statistics,Physics,Chemistry
Student1,72,12,78,46,10,100
Student2,73,20,92,71,28,92
Student3,82,30,78,60,1,92
Student4,92,12,61,57,1,93
Student5,93,49,29,47,28,82
Student6,75,28,94,54,25,82
Student7,94,43,41,59,21,85
Student8,76,23,92,61,20,100
Student9,91,16,91,47,16,93
Student10,92,15,66,45,27,94
Student11,71,20,25,44,13,94
Student12,81,38,93,46,2,93
Student13,95,50,63,61,3,97
Student14,92,42,64,72,27,86
Student15,74,50,40,66,15,85
Student16,71,36,51,59,22,92
Student17,73,30,65,51,27,91
Student18,92,50,77,73,22,86
Student19,83,35,80,56,11,89
Student20,74,26,68,59,6,100
Student21,83,46,69,66,23,89
Student22,87,12,79,60,22,89
Student23,95,15,82,41,4,96
Student24,75,11,23,65,17,97
Student25,75,44,99,50,12,98
Student26,87,27,95,46,19,81
Student27,77,48,35,73,10,92
Student28,82,33,73,57,28,89
Student29,84,20,71,78,29,96
Student30,71,44,77,53,10,94
Student31,79,20,54,49,30,83
Student32,94,32,98,46,27,87
